ID,SPECIES_NAME,TAXONOMIC_NAME,Level,submitted_name,valid_name_FishBase,Genus_FishBase,Family_FishBase,Class_FishBase,AphiaID,rls_EM,Comment
808,Cryptocentrus cryptocentrus,Cryptocentrus cryptocentrus,species,Cryptocentrus cryptocentrus,Cryptocentrus cryptocentrus,Cryptocentrus,Gobiidae,Actinopteri,219432,1,NA
809,Cryptocentrus fasciatus,Cryptocentrus fasciatus,species,Cryptocentrus fasciatus,Cryptocentrus fasciatus,Cryptocentrus,Gobiidae,Actinopteri,367253,1,NA
810,Cryptocentrus leucostictus,Cryptocentrus leucostictus,species,Cryptocentrus leucostictus,Cryptocentrus leucostictus,Cryptocentrus,Gobiidae,Actinopteri,278335,1,NA
811,Cryptocentrus sp. (cf caeruleomaculatus),Cryptocentrus spp.,genus,NA,NA,Cryptocentrus,Gobiidae,Actinopteri,NA,NA,NA
812,Cryptocentrus strigilliceps,Cryptocentrus strigilliceps,species,Cryptocentrus strigilliceps,Cryptocentrus strigilliceps,Cryptocentrus,Gobiidae,Actinopteri,219429,1,NA
813,Ctenochaetus binotatus,Ctenochaetus binotatus,species,Ctenochaetus binotatus,Ctenochaetus binotatus,Ctenochaetus,Acanthuridae,Actinopteri,219655,1,NA
814,Ctenochaetus cyanocheilus,Ctenochaetus cyanocheilus,species,Ctenochaetus cyanocheilus,Ctenochaetus cyanocheilus,Ctenochaetus,Acanthuridae,Actinopteri,277559,1,NA
815,Ctenochaetus flavicauda,Ctenochaetus flavicauda,species,Ctenochaetus flavicauda,Ctenochaetus flavicauda,Ctenochaetus,Acanthuridae,Actinopteri,277560,1,NA
816,Ctenochaetus hawaiiensis,Ctenochaetus hawaiiensis,species,Ctenochaetus hawaiiensis,Ctenochaetus hawaiiensis,Ctenochaetus,Acanthuridae,Actinopteri,277561,1,NA
817,Ctenochaetus marginatus,Ctenochaetus marginatus,species,Ctenochaetus marginatus,Ctenochaetus marginatus,Ctenochaetus,Acanthuridae,Actinopteri,219657,1,NA
818,Ctenochaetus spp.,Ctenochaetus spp.,genus,NA,NA,Ctenochaetus,Acanthuridae,Actinopteri,NA,NA,NA
819,Ctenochaetus striatus,Ctenochaetus striatus,species,Ctenochaetus striatus,Ctenochaetus striatus,Ctenochaetus,Acanthuridae,Actinopteri,219659,1,NA
820,Ctenochaetus tominiensis,Ctenochaetus tominiensis,species,Ctenochaetus tominiensis,Ctenochaetus tominiensis,Ctenochaetus,Acanthuridae,Actinopteri,277562,1,NA
821,Ctenochaetus truncatus,Ctenochaetus truncatus,species,Ctenochaetus truncatus,Ctenochaetus truncatus,Ctenochaetus,Acanthuridae,Actinopteri,277563,1,NA
822,Ctenogobiops aurocingulus,Ctenogobiops aurocingulus,species,Ctenogobiops aurocingulus,Ctenogobiops aurocingulus,Ctenogobiops,Gobiidae,Actinopteri,278350,1,NA
823,Ctenogobiops crocineus,Ctenogobiops crocineus,species,Ctenogobiops crocineus,Ctenogobiops crocineus,Ctenogobiops,Gobiidae,Actinopteri,219436,1,NA
824,Ctenogobiops feroculus,Ctenogobiops feroculus,species,Ctenogobiops feroculus,Ctenogobiops feroculus,Ctenogobiops,Gobiidae,Actinopteri,219437,1,NA
825,Ctenogobiops maculosus,Ctenogobiops maculosus,species,Ctenogobiops maculosus,Ctenogobiops maculosus,Ctenogobiops,Gobiidae,Actinopteri,219435,1,NA
826,Ctenogobiops mitodes,Ctenogobiops mitodes,species,Ctenogobiops mitodes,Ctenogobiops mitodes,Ctenogobiops,Gobiidae,Actinopteri,398631,1,NA
827,Ctenogobiops pomastictus,Ctenogobiops pomastictus,species,Ctenogobiops pomastictus,Ctenogobiops pomastictus,Ctenogobiops,Gobiidae,Actinopteri,278352,1,NA
828,Ctenogobiops spp.,Ctenogobiops spp.,genus,NA,NA,Ctenogobiops,Gobiidae,Actinopteri,NA,NA,NA
829,Ctenogobiops tangaroai,Ctenogobiops tangaroai,species,Ctenogobiops tangaroai,Ctenogobiops tangaroai,Ctenogobiops,Gobiidae,Actinopteri,278353,1,NA
830,Ctenolabrus rupestris,Ctenolabrus rupestris,species,Ctenolabrus rupestris,Ctenolabrus rupestris,Ctenolabrus,Labridae,Actinopteri,126964,1,NA
831,Cybiosarda elegans,Cybiosarda elegans,species,Cybiosarda elegans,Cybiosarda elegans,Cybiosarda,Scombridae,Actinopteri,280459,1,NA
832,Cyclichthys orbicularis,Cyclichthys orbicularis,species,Cyclichthys orbicularis,Cyclichthys orbicularis,Cyclichthys,Diodontidae,Actinopteri,219968,1,NA
833,Cymatogaster aggregata,Cymatogaster aggregata,species,Cymatogaster aggregata,Cymatogaster aggregata,Cymatogaster,Embiotocidae,Actinopteri,280461,1,NA
834,Cymbacephalus beauforti,Cymbacephalus beauforti,species,Cymbacephalus beauforti,Cymbacephalus beauforti,Cymbacephalus,Platycephalidae,Actinopteri,280462,1,NA
835,Cymbacephalus spp.,Cymbacephalus spp.,genus,NA,NA,Cymbacephalus,Platycephalidae,Actinopteri,NA,NA,NA
836,Cypho purpurascens,Cypho purpurascens,species,Cypho purpurascens,Cypho purpurascens,Cypho,Pseudochromidae,Actinopteri,280467,1,NA
837,Cypho zaps,Cypho zaps,species,Cypho zaps,Cypho zaps,Cypho,Pseudochromidae,Actinopteri,388751,1,NA
838,Cyprinocirrhites polyactis,Cyprinocirrhites polyactis,species,Cyprinocirrhites polyactis,Cyprinocirrhites polyactis,Cyprinocirrhites,Cirrhitidae,Actinopteri,218864,1,NA
839,Dactylophora nigricans,Dactylophora nigricans,species,Dactylophora nigricans,Dactylophora nigricans,Dactylophora,Cheilodactylidae,Actinopteri,280476,1,NA
840,Dactylopus dactylopus,Dactylopus dactylopus,species,Dactylopus dactylopus,Dactylopus dactylopus,Dactylopus,Callionymidae,Actinopteri,278368,1,NA
841,Dascyllus albisella,Dascyllus albisella,species,Dascyllus albisella,Dascyllus albisella,Dascyllus,Pomacentridae,Actinopteri,278448,1,NA
842,Dascyllus aruanus,Dascyllus aruanus,species,Dascyllus aruanus,Dascyllus aruanus,Dascyllus,Pomacentridae,Actinopteri,212843,1,NA
843,Dascyllus carneus,Dascyllus carneus,species,Dascyllus carneus,Dascyllus carneus,Dascyllus,Pomacentridae,Actinopteri,212848,1,NA
844,Dascyllus flavicaudus,Dascyllus flavicaudus,species,Dascyllus flavicaudus,Dascyllus flavicaudus,Dascyllus,Pomacentridae,Actinopteri,278450,1,NA
845,Dascyllus marginatus,Dascyllus marginatus,species,Dascyllus marginatus,Dascyllus marginatus,Dascyllus,Pomacentridae,Actinopteri,212849,1,NA
846,Dascyllus melanurus,Dascyllus melanurus,species,Dascyllus melanurus,Dascyllus melanurus,Dascyllus,Pomacentridae,Actinopteri,278451,1,NA
847,Dascyllus reticulatus,Dascyllus reticulatus,species,Dascyllus reticulatus,Dascyllus reticulatus,Dascyllus,Pomacentridae,Actinopteri,212844,1,NA
848,Dascyllus strasburgi,Dascyllus strasburgi,species,Dascyllus strasburgi,Dascyllus strasburgi,Dascyllus,Pomacentridae,Actinopteri,278452,1,NA
849,Dascyllus trimaculatus,Dascyllus trimaculatus,species,Dascyllus trimaculatus,Dascyllus trimaculatus,Dascyllus,Pomacentridae,Actinopteri,212846,1,NA
850,Dasyatid spp.,Dasyatid spp.,higher,NA,NA,NA,NA,NA,NA,NA,NA
851,Dasyatis americana,Dasyatis americana,species,Dasyatis americana,Hypanus americanus,Hypanus,Dasyatidae,Elasmobranchii,1042856,1,NA
852,Dasyatis brevis,Dasyatis brevis,species,Dasyatis brevis,Dasyatis brevis,Dasyatis,Dasyatidae,Elasmobranchii,271428,1,NA
853,Dasyatis centroura,Dasyatis centroura,species,Dasyatis centroura,Bathytoshia centroura,Bathytoshia,Dasyatidae,Elasmobranchii,1017389,1,NA
854,Dasyatis longa,Dasyatis longa,species,Dasyatis longa,Hypanus longus,Hypanus,Dasyatidae,Elasmobranchii,1042860,1,NA
855,Dasyatis thetidis,Dasyatis thetidis,species,Dasyatis thetidis,Bathytoshia lata,Bathytoshia,Dasyatidae,Elasmobranchii,1018707,1,NA
856,Decapterus koheru,Decapterus koheru,species,Decapterus koheru,Decapterus koheru,Decapterus,Carangidae,Actinopteri,273277,1,NA
857,Decapterus macarellus,Decapterus macarellus,species,Decapterus macarellus,Decapterus macarellus,Decapterus,Carangidae,Actinopteri,126807,1,NA
858,Decapterus muroadsi,Decapterus muroadsi,species,Decapterus muroadsi,Decapterus muroadsi,Decapterus,Carangidae,Actinopteri,273279,1,NA
859,Decapterus punctatus,Decapterus punctatus,species,Decapterus punctatus,Decapterus punctatus,Decapterus,Carangidae,Actinopteri,126808,1,NA
860,Decapterus spp.,Decapterus spp.,genus,NA,NA,Decapterus,Carangidae,Actinopteri,NA,NA,NA
861,Dellichthys morelandi,Dellichthys morelandi,species,Dellichthys morelandi,Dellichthys morelandi,Dellichthys,Gobiesocidae,Actinopteri,280497,1,NA
862,Dendrochirus barberi,Dendrochirus barberi,species,Dendrochirus barberi,Dendrochirus barberi,Dendrochirus,Scorpaenidae,Actinopteri,277714,1,NA
863,Dendrochirus zebra,Dendrochirus zebra,species,Dendrochirus zebra,Dendrochirus zebra,Dendrochirus,Scorpaenidae,Actinopteri,218053,1,NA
864,Dentex dentex,Dentex dentex,species,Dentex dentex,Dentex dentex,Dentex,Sparidae,Actinopteri,273962,1,NA
865,Dentiraja lemprieri,Dentiraja lemprieri,species,Dentiraja lemprieri,Dentiraja lemprieri,Dentiraja,Rajidae,Elasmobranchii,712395,1,NA
866,Dermatolepis dermatolepis,Dermatolepis dermatolepis,species,Dermatolepis dermatolepis,Dermatolepis dermatolepis,Dermatolepis,Serranidae,Actinopteri,276919,1,NA
867,Diademichthys lineatus,Diademichthys lineatus,species,Diademichthys lineatus,Diademichthys lineatus,Diademichthys,Gobiesocidae,Actinopteri,219756,1,NA
868,Diagramma labiosum,Diagramma labiosum,species,Diagramma labiosum,Diagramma labiosum,Diagramma,Haemulidae,Actinopteri,279261,1,NA
869,Diagramma melanacrum,Diagramma melanacrum,species,Diagramma melanacrum,Diagramma melanacrum,Diagramma,Haemulidae,Actinopteri,279262,1,NA
870,Diagramma spp.,Diagramma spp.,genus,NA,NA,Diagramma,Haemulidae,Actinopteri,NA,NA,NA
871,Dicentrarchus labrax,Dicentrarchus labrax,species,Dicentrarchus labrax,Dicentrarchus labrax,Dicentrarchus,Moronidae,Actinopteri,126975,1,NA
872,Dicentrarchus punctatus,Dicentrarchus punctatus,species,Dicentrarchus punctatus,Dicentrarchus punctatus,Dicentrarchus,Moronidae,Actinopteri,126976,1,NA
873,Dichistius capensis,Dichistius capensis,species,Dichistius capensis,Dichistius capensis,Dichistius,Dichistiidae,Actinopteri,221426,1,NA
874,Dicotylichthys punctulatus,Dicotylichthys punctulatus,species,Dicotylichthys punctulatus,Dicotylichthys punctulatus,Dicotylichthys,Diodontidae,Actinopteri,219969,1,NA
875,Dinolestes lewini,Dinolestes lewini,species,Dinolestes lewini,Dinolestes lewini,Dinolestes,Dinolestidae,Actinopteri,280548,1,NA
876,Diodon holocanthus,Diodon holocanthus,species,Diodon holocanthus,Diodon holocanthus,Diodon,Diodontidae,Actinopteri,127402,1,NA
877,Diodon hystrix,Diodon hystrix,species,Diodon hystrix,Diodon hystrix,Diodon,Diodontidae,Actinopteri,127403,1,NA
878,Diodon liturosus,Diodon liturosus,species,Diodon liturosus,Diodon liturosus,Diodon,Diodontidae,Actinopteri,219970,1,NA
879,Diodon nicthemerus,Diodon nicthemerus,species,Diodon nicthemerus,Diodon nicthemerus,Diodon,Diodontidae,Actinopteri,275243,1,NA
880,Diplectrum bivittatum,Diplectrum bivittatum,species,Diplectrum bivittatum,Diplectrum bivittatum,Diplectrum,Serranidae,Actinopteri,276176,1,NA
881,Diplodus annularis,Diplodus annularis,species,Diplodus annularis,Diplodus annularis,Diplodus,Sparidae,Actinopteri,127049,1,NA
882,Diplodus argenteus,Diplodus argenteus,species,Diplodus argenteus,Diplodus argenteus,Diplodus,Sparidae,Actinopteri,293578,1,NA
883,Diplodus capensis,Diplodus capensis,species,Diplodus capensis,Diplodus capensis,Diplodus,Sparidae,Actinopteri,273970,1,NA
884,Diplodus cervinus,Diplodus cervinus,species,Diplodus cervinus,Diplodus cervinus,Diplodus,Sparidae,Actinopteri,127051,1,NA
885,Diplodus puntazzo,Diplodus puntazzo,species,Diplodus puntazzo,Diplodus puntazzo,Diplodus,Sparidae,Actinopteri,127052,1,NA
886,Diplodus sargus,Diplodus sargus,species,Diplodus sargus,Diplodus sargus,Diplodus,Sparidae,Actinopteri,127053,1,NA
887,Diplodus vulgaris,Diplodus vulgaris,species,Diplodus vulgaris,Diplodus vulgaris,Diplodus,Sparidae,Actinopteri,127054,1,NA
888,Diplogrammus goramensis,Diplogrammus goramensis,species,Diplogrammus goramensis,Diplogrammus goramensis,Diplogrammus,Callionymidae,Actinopteri,276334,1,NA
889,Diplogrammus xenicus,Diplogrammus xenicus,species,Diplogrammus xenicus,Diplogrammus xenicus,Diplogrammus,Callionymidae,Actinopteri,276338,1,NA
890,Diploprion bifasciatum,Diploprion bifasciatum,species,Diploprion bifasciatum,Diploprion bifasciatum,Diploprion,Serranidae,Actinopteri,277235,1,NA
891,Diproctacanthus xanthurus,Diproctacanthus xanthurus,species,Diproctacanthus xanthurus,Diproctacanthus xanthurus,Diproctacanthus,Labridae,Actinopteri,218970,1,NA
892,Dipterygonotus balteatus,Dipterygonotus balteatus,species,Dipterygonotus balteatus,Dipterygonotus balteatus,Dipterygonotus,Caesionidae,Actinopteri,219997,1,NA
893,Dischistodus chrysopoecilus,Dischistodus chrysopoecilus,species,Dischistodus chrysopoecilus,Dischistodus chrysopoecilus,Dischistodus,Pomacentridae,Actinopteri,280559,1,NA
894,Dischistodus darwiniensis,Dischistodus darwiniensis,species,Dischistodus darwiniensis,Dischistodus darwiniensis,Dischistodus,Pomacentridae,Actinopteri,280560,1,NA
895,Dischistodus melanotus,Dischistodus melanotus,species,Dischistodus melanotus,Dischistodus melanotus,Dischistodus,Pomacentridae,Actinopteri,280562,1,NA
896,Dischistodus perspicillatus,Dischistodus perspicillatus,species,Dischistodus perspicillatus,Dischistodus perspicillatus,Dischistodus,Pomacentridae,Actinopteri,280563,1,NA
897,Dischistodus prosopotaenia,Dischistodus prosopotaenia,species,Dischistodus prosopotaenia,Dischistodus prosopotaenia,Dischistodus,Pomacentridae,Actinopteri,280564,1,NA
898,Dischistodus pseudochrysopoecilus,Dischistodus pseudochrysopoecilus,species,Dischistodus pseudochrysopoecilus,Dischistodus pseudochrysopoecilus,Dischistodus,Pomacentridae,Actinopteri,280565,1,NA
899,Dischistodus spp.,Dischistodus spp.,genus,NA,NA,Dischistodus,Pomacentridae,Actinopteri,NA,NA,NA
900,Doratonotus megalepis,Doratonotus megalepis,species,Doratonotus megalepis,Doratonotus megalepis,Doratonotus,Labridae,Actinopteri,280576,1,NA
901,Dotalabrus alleni,Dotalabrus alleni,species,Dotalabrus alleni,Dotalabrus alleni,Dotalabrus,Labridae,Actinopteri,280577,1,NA
902,Dotalabrus aurantiacus,Dotalabrus aurantiacus,species,Dotalabrus aurantiacus,Dotalabrus aurantiacus,Dotalabrus,Labridae,Actinopteri,280578,1,NA
903,Dunckerocampus dactyliophorus,Dunckerocampus dactyliophorus,species,Dunckerocampus dactyliophorus,Dunckerocampus dactyliophorus,Dunckerocampus,Syngnathidae,Actinopteri,218005,1,NA
904,Echeneis naucrates,Echeneis naucrates,species,Echeneis naucrates,Echeneis naucrates,Echeneis,Echeneidae,Actinopteri,126848,1,NA
905,Echeneis neucratoides,Echeneis neucratoides,species,Echeneis neucratoides,Echeneis neucratoides,Echeneis,Echeneidae,Actinopteri,159678,1,NA
906,Echidna nebulosa,Echidna nebulosa,species,Echidna nebulosa,Echidna nebulosa,Echidna,Muraenidae,Actinopteri,217469,1,NA
907,Echidna nocturna,Echidna nocturna,species,Echidna nocturna,Echidna nocturna,Echidna,Muraenidae,Actinopteri,278678,1,NA
908,Ecsenius ?frontalis,Ecsenius spp.,genus,NA,NA,Ecsenius,Blenniidae,Actinopteri,NA,NA,NA
909,Ecsenius aequalis,Ecsenius aequalis,species,Ecsenius aequalis,Ecsenius aequalis,Ecsenius,Blenniidae,Actinopteri,277646,1,NA
910,Ecsenius alleni,Ecsenius alleni,species,Ecsenius alleni,Ecsenius alleni,Ecsenius,Blenniidae,Actinopteri,277647,1,NA
911,Ecsenius australianus,Ecsenius australianus,species,Ecsenius australianus,Ecsenius australianus,Ecsenius,Blenniidae,Actinopteri,277648,1,NA
912,Ecsenius bandanus,Ecsenius bandanus,species,Ecsenius bandanus,Ecsenius bandanus,Ecsenius,Blenniidae,Actinopteri,277650,1,NA
913,Ecsenius bathi,Ecsenius bathi,species,Ecsenius bathi,Ecsenius bathi,Ecsenius,Blenniidae,Actinopteri,277651,1,NA
914,Ecsenius bicolor,Ecsenius bicolor,species,Ecsenius bicolor,Ecsenius bicolor,Ecsenius,Blenniidae,Actinopteri,277652,1,NA
915,Ecsenius fijiensis,Ecsenius fijiensis,species,Ecsenius fijiensis,Ecsenius fijiensis,Ecsenius,Blenniidae,Actinopteri,277658,1,NA
916,Ecsenius fourmanoiri,Ecsenius fourmanoiri,species,Ecsenius fourmanoiri,Ecsenius fourmanoiri,Ecsenius,Blenniidae,Actinopteri,277659,1,NA
917,Ecsenius frontalis,Ecsenius frontalis,species,Ecsenius frontalis,Ecsenius frontalis,Ecsenius,Blenniidae,Actinopteri,219274,1,NA
918,Ecsenius gravieri,Ecsenius gravieri,species,Ecsenius gravieri,Ecsenius gravieri,Ecsenius,Blenniidae,Actinopteri,219273,1,NA
919,Ecsenius lineatus,Ecsenius lineatus,species,Ecsenius lineatus,Ecsenius lineatus,Ecsenius,Blenniidae,Actinopteri,219272,1,NA
920,Ecsenius lividanalis,Ecsenius lividanalis,species,Ecsenius lividanalis,Ecsenius lividanalis,Ecsenius,Blenniidae,Actinopteri,277662,1,NA
921,Ecsenius mandibularis,Ecsenius mandibularis,species,Ecsenius mandibularis,Ecsenius mandibularis,Ecsenius,Blenniidae,Actinopteri,277664,1,NA
922,Ecsenius midas,Ecsenius midas,species,Ecsenius midas,Ecsenius midas,Ecsenius,Blenniidae,Actinopteri,219271,1,NA
923,Ecsenius minutus,Ecsenius minutus,species,Ecsenius minutus,Ecsenius minutus,Ecsenius,Blenniidae,Actinopteri,277666,1,NA
924,Ecsenius nalolo,Ecsenius nalolo,species,Ecsenius nalolo,Ecsenius nalolo,Ecsenius,Blenniidae,Actinopteri,219275,1,NA
925,Ecsenius namiyei,Ecsenius namiyei,species,Ecsenius namiyei,Ecsenius namiyei,Ecsenius,Blenniidae,Actinopteri,277668,1,NA
926,Ecsenius oculatus,Ecsenius oculatus,species,Ecsenius oculatus,Ecsenius oculatus,Ecsenius,Blenniidae,Actinopteri,277670,1,NA
927,Ecsenius ops,Ecsenius spp.,species,Ecsenius ops,Ecsenius ops,Ecsenius,Blenniidae,Actinopteri,277672,1,NA
928,Ecsenius prooculis,Ecsenius prooculis,species,Ecsenius prooculis,Ecsenius prooculis,Ecsenius,Blenniidae,Actinopteri,277679,1,NA
929,Ecsenius schroederi,Ecsenius schroederi,species,Ecsenius schroederi,Ecsenius schroederi,Ecsenius,Blenniidae,Actinopteri,277682,1,NA
930,Ecsenius spp.,Ecsenius spp.,genus,NA,NA,Ecsenius,Blenniidae,Actinopteri,NA,NA,NA
931,Ecsenius stictus,Ecsenius stictus,species,Ecsenius stictus,Ecsenius stictus,Ecsenius,Blenniidae,Actinopteri,277685,1,NA
932,Ecsenius stigmatura,Ecsenius stigmatura,species,Ecsenius stigmatura,Ecsenius stigmatura,Ecsenius,Blenniidae,Actinopteri,277686,1,NA
933,Ecsenius tigris,Ecsenius tigris,species,Ecsenius tigris,Ecsenius tigris,Ecsenius,Blenniidae,Actinopteri,277689,1,NA
934,Ecsenius trilineatus,Ecsenius trilineatus,species,Ecsenius trilineatus,Ecsenius trilineatus,Ecsenius,Blenniidae,Actinopteri,277691,1,NA
935,Ecsenius yaeyamaensis,Ecsenius yaeyamaensis,species,Ecsenius yaeyamaensis,Ecsenius yaeyamaensis,Ecsenius,Blenniidae,Actinopteri,277692,1,NA
936,Ekemblemaria myersi,Ekemblemaria myersi,species,Ekemblemaria myersi,Ekemblemaria myersi,Ekemblemaria,Chaenopsidae,Actinopteri,280594,1,NA
937,Elacatinus evelynae,Elacatinus evelynae,species,Elacatinus evelynae,Elacatinus evelynae,Elacatinus,Gobiidae,Actinopteri,280601,1,NA
938,Elacatinus figaro,Elacatinus figaro,species,Elacatinus figaro,Elacatinus figaro,Elacatinus,Gobiidae,Actinopteri,280602,1,NA
939,Elacatinus genie,Elacatinus genie,species,Elacatinus genie,Elacatinus genie,Elacatinus,Gobiidae,Actinopteri,280604,1,NA
940,Elacatinus horsti,Elacatinus horsti,species,Elacatinus horsti,Elacatinus horsti,Elacatinus,Gobiidae,Actinopteri,280605,1,NA
941,Elacatinus lobeli,Elacatinus lobeli,species,Elacatinus lobeli,Elacatinus lobeli,Elacatinus,Gobiidae,Actinopteri,475011,1,NA
942,Elacatinus oceanops,Elacatinus oceanops,species,Elacatinus oceanops,Elacatinus oceanops,Elacatinus,Gobiidae,Actinopteri,280616,1,NA
943,Elacatinus prochilos,Elacatinus prochilos,species,Elacatinus prochilos,Elacatinus prochilos,Elacatinus,Gobiidae,Actinopteri,280619,1,NA
944,Elacatinus puncticulatus,Elacatinus puncticulatus,species,Elacatinus puncticulatus,Elacatinus puncticulatus,Tigrigobius,Gobiidae,Actinopteri,280620,1,NA
945,Elacatinus randalli,Elacatinus randalli,species,Elacatinus randalli,Elacatinus randalli,Elacatinus,Gobiidae,Actinopteri,280621,1,NA
946,Elacatinus saucrus,Elacatinus saucrus,species,Elacatinus saucrus,Tigrigobius saucrus,Tigrigobius,Gobiidae,Actinopteri,1013785,1,NA
947,Elacatinus spp.,Elacatinus spp.,genus,NA,NA,Elacatinus,Gobiidae,Actinopteri,NA,NA,NA
948,Elacatinus xanthiprora,Elacatinus xanthiprora,species,Elacatinus xanthiprora,Elacatinus xanthiprora,Elacatinus,Gobiidae,Actinopteri,280625,1,NA
949,Elagatis bipinnulata,Elagatis bipinnulata,species,Elagatis bipinnulata,Elagatis bipinnulata,Elagatis,Carangidae,Actinopteri,126809,1,NA
950,Eleotrica cableae,Eleotrica cableae,species,Eleotrica cableae,Eleotrica cableae,Eleotrica,Gobiidae,Actinopteri,280635,1,NA
951,Elops affinis,Elops affinis,species,Elops affinis,Elops affinis,Elops,Elopidae,Actinopteri,275403,1,NA
952,Embiotoca jacksoni,Embiotoca jacksoni,species,Embiotoca jacksoni,Embiotoca jacksoni,Embiotoca,Embiotocidae,Actinopteri,240746,1,NA
953,Embiotoca lateralis,Embiotoca lateralis,species,Embiotoca lateralis,Embiotoca lateralis,Embiotoca,Embiotocidae,Actinopteri,240740,1,NA
954,Emblemariopsis signifer,Emblemariopsis signifer,species,Emblemariopsis signifer,Emblemariopsis signifer,Emblemariopsis,Chaenopsidae,Actinopteri,593554,1,NA
955,Emblemariopsis sp. [bottomei],Emblemariopsis sp. [bottomei],genus,NA,NA,Emblemariopsis,Chaenopsidae,Actinopteri,NA,NA,NA
956,Enchelycore lichenosa,Enchelycore lichenosa,species,Enchelycore lichenosa,Enchelycore lichenosa,Enchelycore,Muraenidae,Actinopteri,271807,1,NA
957,Enchelycore ramosa,Enchelycore ramosa,species,Enchelycore ramosa,Enchelycore ramosa,Enchelycore,Muraenidae,Actinopteri,271811,1,NA
958,Engraulis australis,Engraulis australis,species,Engraulis australis,Engraulis australis,Engraulis,Engraulidae,Actinopteri,272285,1,NA
959,Engraulis encrasicolus,Engraulis encrasicolus,species,Engraulis encrasicolus,Engraulis encrasicolus,Engraulis,Engraulidae,Actinopteri,126426,1,NA
960,Enneanectes carminalis,Enneanectes carminalis,species,Enneanectes carminalis,Enneanectes carminalis,Enneanectes,Tripterygiidae,Actinopteri,280680,1,NA
961,Enneapterygius atrogulare,Enneapterygius atrogulare,species,Enneapterygius atrogulare,Enneapterygius atrogulare,Enneapterygius,Tripterygiidae,Actinopteri,277299,1,NA
962,Enneapterygius etheostomus,Enneapterygius etheostomus,species,Enneapterygius etheostomus,Enneapterygius etheostomus,Enneapterygius,Tripterygiidae,Actinopteri,277306,1,NA
963,Enneapterygius flavoccipitis,Enneapterygius flavoccipitis,species,Enneapterygius flavoccipitis,Enneapterygius flavoccipitis,Enneapterygius,Tripterygiidae,Actinopteri,277307,1,NA
964,Enneapterygius hemimelas,Enneapterygius hemimelas,species,Enneapterygius hemimelas,Enneapterygius hemimelas,Enneapterygius,Tripterygiidae,Actinopteri,277312,1,NA
965,Enneapterygius kermadecensis,Enneapterygius kermadecensis,species,Enneapterygius kermadecensis,Enneapterygius kermadecensis,Enneapterygius,Tripterygiidae,Actinopteri,277315,1,NA
966,Enneapterygius larsonae,Enneapterygius larsonae,species,Enneapterygius larsonae,Enneapterygius larsonae,Enneapterygius,Tripterygiidae,Actinopteri,277317,1,NA
967,Enneapterygius mirabilis,Enneapterygius mirabilis,species,Enneapterygius mirabilis,Enneapterygius mirabilis,Enneapterygius,Tripterygiidae,Actinopteri,277320,1,NA
968,Enneapterygius rufopileus,Enneapterygius rufopileus,species,Enneapterygius rufopileus,Enneapterygius rufopileus,Enneapterygius,Tripterygiidae,Actinopteri,277337,1,NA
969,Enneapterygius similis,Enneapterygius similis,species,Enneapterygius similis,Enneapterygius similis,Enneapterygius,Tripterygiidae,Actinopteri,277339,1,NA
970,Enneapterygius spp.,Enneapterygius spp.,genus,NA,NA,Enneapterygius,Tripterygiidae,Actinopteri,NA,NA,NA
971,Enneapterygius tutuilae,Enneapterygius tutuilae,species,Enneapterygius tutuilae,Enneapterygius tutuilae,Enneapterygius,Tripterygiidae,Actinopteri,219180,1,NA
972,Enophrys diceraus,Enophrys diceraus,species,Enophrys diceraus,Enophrys diceraus,Enophrys,Cottidae,Actinopteri,154784,1,NA
973,Enoplosus armatus,Enoplosus armatus,species,Enoplosus armatus,Enoplosus armatus,Enoplosus,Enoplosidae,Actinopteri,280685,1,NA
974,Eocallionymus papilio,Eocallionymus papilio,species,Eocallionymus papilio,Eocallionymus papilio,Eocallionymus,Callionymidae,Actinopteri,280688,1,NA
975,Epibulus brevis,Epibulus brevis,species,Epibulus brevis,Epibulus brevis,Epibulus,Labridae,Actinopteri,398569,1,NA
976,Epibulus insidiator,Epibulus insidiator,species,Epibulus insidiator,Epibulus insidiator,Epibulus,Labridae,Actinopteri,218972,1,NA
977,Epinephelides armatus,Epinephelides armatus,species,Epinephelides armatus,Epinephelides armatus,Epinephelides,Serranidae,Actinopteri,280694,1,NA
978,Epinephelus adscensionis,Epinephelus adscensionis,species,Epinephelus adscensionis,Epinephelus adscensionis,Epinephelus,Serranidae,Actinopteri,159351,1,NA
979,Epinephelus analogus,Epinephelus analogus,species,Epinephelus analogus,Epinephelus analogus,Epinephelus,Serranidae,Actinopteri,273835,1,NA
980,Epinephelus areolatus,Epinephelus areolatus,species,Epinephelus areolatus,Epinephelus areolatus,Epinephelus,Serranidae,Actinopteri,218204,1,NA
981,Epinephelus bilobatus,Epinephelus bilobatus,species,Epinephelus bilobatus,Epinephelus bilobatus,Epinephelus,Serranidae,Actinopteri,273837,1,NA
982,Epinephelus bleekeri,Epinephelus bleekeri,species,Epinephelus bleekeri,Epinephelus bleekeri,Epinephelus,Serranidae,Actinopteri,273838,1,NA
983,Epinephelus coeruleopunctatus,Epinephelus coeruleopunctatus,species,Epinephelus coeruleopunctatus,Epinephelus coeruleopunctatus,Epinephelus,Serranidae,Actinopteri,218247,1,NA
